Turbidity,Azimuth,Elevation,Normalization,Mean X,Mean Y,Sigma X,Sigma Y,Weight,Volume,MAE,RMSE
10,90,26,0.5,6.283185307,0.615206359,5.709646937,0.417239943,0.18850034,1,0.001814176,0.002371135
10,90,26,0.5,6.283185307,0.083694569,5.597674535,0.254198516,0.13058814,1,0.001814176,0.002371135
2,90,26,3.5,6.283185307,0.096376723,6,0.581386095,0.238053223,1,0.010395052,0.019979164
2,90,26,3.5,6.283185307,5.61E-37,6,0.216109578,0.219691307,1,0.010395052,0.019979164
2,90,26,3.5,2.610350009,0.040551592,6,0.062728269,0.048935726,1,0.010395052,0.019979164
2,90,26,3.5,1.532444187,7.80E-46,0.451323503,0.396325378,0.129776185,1,0.010395052,0.019979164
2,90,26,3.5,2.06E-41,0.069333932,6,0.605891384,0.363543559,1,0.010395052,0.019979164
3,90,26,5.5,3.34E-30,0.043384324,5.220740136,0.07922346,0.068473006,1,0.005438121,0.007943872
3,90,26,5.5,4.991493842,4.71E-40,1.037298896,0.221953444,0.091475205,1,0.005438121,0.007943872
3,90,26,5.5,1.5685376,0.215398919,0.25183684,0.33509769,0.08432948,1,0.005438121,0.007943872
3,90,26,5.5,1.998969935,3.87E-42,6,0.620696843,0.596861573,1,0.005438121,0.007943872
3,90,26,5.5,1.54683006,1.24E-45,0.649116093,0.314746735,0.158860736,1,0.005438121,0.007943872
4,90,26,16.5,5.150055591,1.56E-43,1.081275078,0.216813492,0.072424893,1,0.004691112,0.006866989
4,90,26,16.5,1.566326378,5.68E-41,0.498923639,0.370727319,0.220635235,1,0.004691112,0.006866989
4,90,26,16.5,1.564237174,0.282368842,0.211798235,0.269243233,0.084775022,1,0.004691112,0.006866989
4,90,26,16.5,0.927613572,0.050271122,2.949772658,0.08253993,0.062238891,1,0.004691112,0.006866989
4,90,26,16.5,1.604967595,2.31E-39,6,0.622300094,0.559925958,1,0.004691112,0.006866989
5,90,26,13.5,1.412332451,0.055031563,1.092986646,0.084954508,0.045110107,1,0.004062257,0.005797276
5,90,26,13.5,1.572498785,1.85E-39,6,0.611157886,0.54157116,1,0.004062257,0.005797276
5,90,26,13.5,1.563382722,0.311194626,0.205425912,0.22494563,0.090928875,1,0.004062257,0.005797276
5,90,26,13.5,5.071137113,0.029483763,1.173037094,0.163594368,0.063051199,1,0.004062257,0.005797276
5,90,26,13.5,1.568345911,1.70E-28,0.44879609,0.412542927,0.259338659,1,0.004062257,0.005797276
6,90,26,3.5,5.360812085,0.058920838,6,0.144083956,0.097796808,1,0.003633514,0.005515791
6,90,26,3.5,1.536142857,0.022433042,0.535084879,0.456138426,0.245189099,1,0.003633514,0.005515791
6,90,26,3.5,1.569354134,0.308958609,0.234802757,0.220175306,0.14772087,1,0.003633514,0.005515791
6,90,26,3.5,3.046554373,3.31E-30,6,0.631125098,0.481121059,1,0.003633514,0.005515791
6,90,26,3.5,1.57229111,0.04196525,0.397899564,0.081493425,0.028172164,1,0.003633514,0.005515791
7,90,26,16.5,1.568164882,0.320539969,0.234331479,0.214503271,0.16119594,1,0.003201167,0.004616249
